id,class,order,family,species,iucn,criteria,population,systems,realm
54049436,Reptilia,Squamata,Gerrhosauridae,Matobosaurus maltzahni,LC,,Stable,Terrestrial,Afrotropical
54049690,Reptilia,Squamata,Gerrhosauridae,Gerrhosaurus auritus,LC,,Stable,Terrestrial,Afrotropical
54498245,Reptilia,Squamata,Gekkonidae,Crossobamon orientalis,LC,,Unknown,Terrestrial,Indomalayan
54506205,Reptilia,Squamata,Gekkonidae,Cyrtodactylus markuscombaii,DD,,Unknown,Terrestrial,Indomalayan
54507144,Reptilia,Squamata,Gekkonidae,Cyrtodactylus martinstolli,DD,,Unknown,Terrestrial,Indomalayan
54507377,Reptilia,Squamata,Gekkonidae,Cyrtodactylus nepalensis,DD,,Unknown,Terrestrial,Indomalayan
54507769,Reptilia,Squamata,Gekkonidae,Cyrtodactylus tibetanus,LC,,Stable,Terrestrial,Palearctic
54507835,Reptilia,Squamata,Gekkonidae,Cyrtodactylus zhaoermii,LC,,Stable,Terrestrial,Palearctic
54537052,Reptilia,Squamata,Gekkonidae,Cyrtopodion belaense,DD,,Unknown,Terrestrial,Palearctic
54553835,Reptilia,Squamata,Gekkonidae,Mediodactylus dehakroensis,DD,,Unknown,Terrestrial,Indomalayan
54573089,Reptilia,Squamata,Gekkonidae,Tenuidactylus bogdanovi,LC,,Unknown,Terrestrial,Palearctic
54586397,Reptilia,Squamata,Gekkonidae,Cyrtodactylus adorus,LC,,Stable,Terrestrial,Australasian
54586427,Reptilia,Squamata,Gekkonidae,Cyrtodactylus aequalis,DD,,Unknown,Terrestrial|Freshwater (=Inland waters),Indomalayan
54586549,Reptilia,Squamata,Gekkonidae,Cyrtodactylus angularis,LC,,Unknown,Terrestrial,Indomalayan
54586625,Reptilia,Squamata,Gekkonidae,Cyrtodactylus arcanus,DD,,Unknown,Terrestrial,Australasian
54586636,Reptilia,Squamata,Gekkonidae,Cyrtodactylus astrum,LC,,Stable,Terrestrial,Indomalayan
54586647,Reptilia,Squamata,Gekkonidae,Cyrtodactylus aurensis,LC,,Unknown,Terrestrial,Indomalayan
54586669,Reptilia,Squamata,Gekkonidae,Cyrtodactylus auribalteatus,VU,D2,Stable,Terrestrial,Indomalayan
54586685,Reptilia,Squamata,Gekkonidae,Cyrtodactylus australotitiwangsaensis,LC,,Unknown,Terrestrial,Indomalayan
54586696,Reptilia,Squamata,Gekkonidae,Cyrtodactylus badenensis,VU,D2,Unknown,Terrestrial,Indomalayan
54586707,Reptilia,Squamata,Gekkonidae,Cyrtodactylus baluensis,LC,,Unknown,Terrestrial,Indomalayan
54586746,Reptilia,Squamata,Gekkonidae,Gymnodactylus amarali,LC,,Stable,Terrestrial,Neotropical
54586776,Reptilia,Squamata,Gekkonidae,Gymnodactylus darwinii,LC,,Unknown,Terrestrial,Neotropical
54586817,Reptilia,Squamata,Gekkonidae,Gymnodactylus geckoides,LC,,Unknown,Terrestrial,Neotropical
54586865,Reptilia,Squamata,Gekkonidae,Gymnodactylus guttulatus,LC,,Unknown,Terrestrial,Neotropical
54586903,Reptilia,Squamata,Gekkonidae,Gymnodactylus vanzolinii,DD,,Unknown,Terrestrial,Neotropical
54587019,Reptilia,Squamata,Gekkonidae,Cyrtodactylus batik,DD,,Unknown,Terrestrial,Australasian
54587036,Reptilia,Squamata,Gekkonidae,Cyrtodactylus batucolus,LC,,Unknown,Terrestrial,Indomalayan
54587054,Reptilia,Squamata,Gekkonidae,Cyrtodactylus bichnganae,VU,D2,Unknown,Terrestrial,Indomalayan
54587093,Reptilia,Squamata,Gekkonidae,Cyrtodactylus bintangrendah,LC,,Unknown,Terrestrial,Indomalayan
54587109,Reptilia,Squamata,Gekkonidae,Cyrtodactylus bintangtinggi,NT,D2,Unknown,Terrestrial,Indomalayan
54587125,Reptilia,Squamata,Gekkonidae,Cyrtodactylus brevipalmatus,LC,,Unknown,Terrestrial,Indomalayan
54587172,Reptilia,Squamata,Gekkonidae,Cyrtodactylus buchardi,DD,,Unknown,Terrestrial,Indomalayan
54587180,Reptilia,Squamata,Gekkonidae,Cyrtodactylus bugiamapensis,LC,,Stable,Terrestrial,Indomalayan
55965377,Reptilia,Squamata,Dipsadidae,Philodryas boliviana,DD,,Unknown,Terrestrial,Neotropical
56039121,Reptilia,Squamata,Amphisbaenidae,Amphisbaena angustifrons,LC,,Unknown,Terrestrial,Neotropical
56039143,Reptilia,Squamata,Amphisbaenidae,Amphisbaena bolivica,LC,,Stable,Terrestrial,Neotropical
56039152,Reptilia,Squamata,Amphisbaenidae,Amphisbaena borelli,LC,,Stable,Terrestrial,Neotropical
56039161,Reptilia,Squamata,Amphisbaenidae,Amphisbaena heterozonata,LC,,Stable,Terrestrial,Neotropical
56039170,Reptilia,Squamata,Amphisbaenidae,Amphisbaena hiata,DD,,Unknown,Terrestrial,Neotropical
56039179,Reptilia,Squamata,Amphisbaenidae,Amphisbaena kingii,LC,,Unknown,Terrestrial,Neotropical
56039194,Reptilia,Squamata,Amphisbaenidae,Amphisbaena mertensii,LC,,Unknown,Terrestrial,Neotropical
56039205,Reptilia,Squamata,Amphisbaenidae,Leposternon microcephalum,LC,,Unknown,Terrestrial,Neotropical
56039220,Reptilia,Squamata,Amphisbaenidae,Amphisbaena plumbea,LC,,Unknown,Terrestrial,Neotropical
56039231,Reptilia,Squamata,Amphisbaenidae,Amphisbaena prunicolor,LC,,Unknown,Terrestrial,Neotropical
56039246,Reptilia,Squamata,Amphisbaenidae,Amphisbaena trachura,LC,,Stable,Terrestrial,Neotropical
56039264,Reptilia,Squamata,Diploglossidae,Ophiodes fragilis,LC,,Unknown,Terrestrial,Neotropical
56039279,Reptilia,Squamata,Diploglossidae,Ophiodes intermedius,LC,,Stable,Terrestrial,Neotropical
56039288,Reptilia,Squamata,Diploglossidae,Ophiodes striatus,LC,,Unknown,Terrestrial,
