binomial,TaxonID,group,family,area
Ablepharus bivittatus,R06992,lizard,Scincidae,1124272.16228525
Ablepharus budaki,R06993,lizard,Scincidae,121183.37043079
Ablepharus chernovi,R06994,lizard,Scincidae,296008.88751338
Ablepharus darvazi,R06995,lizard,Scincidae,30666.05417208
Ablepharus deserti,R06996,lizard,Scincidae,889038.25975156
Ablepharus grayanus,R06997,lizard,Scincidae,230806.84485508
Ablepharus kitaibelii,R06998,lizard,Scincidae,713059.80535988
Ablepharus lindbergi,R06999,lizard,Scincidae,165921.70907050
Ablepharus pannonicus,R07000,lizard,Scincidae,2664130.26554540
Ablepharus rueppellii,R07001,lizard,Scincidae,46689.22697407
Abronia anzuetoi,R00667,lizard,Anguidae,40.25730866
Abronia aurita,R00668,lizard,Anguidae,4803.97834321
Abronia bogerti,R00669,lizard,Anguidae,1480.53426444
Abronia campbelli,R00670,lizard,Anguidae,124.21433128
Abronia chiszari,R00671,lizard,Anguidae,503.19110602
Abronia cuetzpali,R10247,lizard,Anguidae,609.03655865
Abronia deppii,R00672,lizard,Anguidae,4814.34117513
Abronia fimbriata,R00673,lizard,Anguidae,3088.49973293
Abronia frosti,R00674,lizard,Anguidae,9.99116483
Abronia fuscolabialis,R00675,lizard,Anguidae,1366.90999753
Abronia gaiophantasma,R00676,lizard,Anguidae,2954.08154280
Abronia graminea,R00677,lizard,Anguidae,8507.03372176
Abronia leurolepis,R00678,lizard,Anguidae,9.99116483
Abronia lythrochila,R00679,lizard,Anguidae,8427.51961769
Abronia martindelcampoi,R00680,lizard,Anguidae,1896.42585406
Abronia matudai,R00681,lizard,Anguidae,817.44522901
Abronia meledona,R00682,lizard,Anguidae,19.98232966
Abronia mitchelli,R00683,lizard,Anguidae,9.99116483
Abronia mixteca,R00684,lizard,Anguidae,7624.95253307
Abronia montecristoi,R00685,lizard,Anguidae,2239.43352390
Abronia oaxacae,R00686,lizard,Anguidae,6695.09780519
Abronia ochoterenai,R00687,lizard,Anguidae,9.99116483
Abronia ornelasi,R00688,lizard,Anguidae,9.99116483
Abronia ramirezi,R00689,lizard,Anguidae,9.99116483
Abronia reidi,R00690,lizard,Anguidae,19.98232967
Abronia salvadorensis,R00691,lizard,Anguidae,540.05072550
Abronia smithi,R00692,lizard,Anguidae,1998.01164476
Abronia taeniata,R00693,lizard,Anguidae,19138.70241394
Abronia vasconcelosii,R00694,lizard,Anguidae,4051.64359535
Acanthocercus adramitanus,R00030,lizard,Agamidae,236391.85191206
Acanthocercus annectans,R10248,lizard,Agamidae,458046.69461723
Acanthocercus atricollis,R00032,lizard,Agamidae,6072000.23995353
Acanthocercus branchi,R00033,lizard,Agamidae,182539.18330176
Acanthocercus cyanocephalus,R11154,lizard,Agamidae,2902.37603609
Acanthocercus cyanogaster,R00034,lizard,Agamidae,2095559.79908597
Acanthocercus gregorii,R11141,lizard,Agamidae,1238299.39222368
Acanthocercus guentherpetersi,R00035,lizard,Agamidae,2371.13782505
Acanthocercus kiwuensis,R11147,lizard,Agamidae,60373.49549796
Acanthocercus minutus,R11150,lizard,Agamidae,209777.75907996
Acanthocercus phillipsii,R00036,lizard,Agamidae,13775.87177670
Acanthocercus ugandaensis,R11143,lizard,Agamidae,124482.07121076
Acanthocercus yemensis,R00037,lizard,Agamidae,51564.01156811
Acanthochelys macrocephala,R09913,turtle,Chelidae,312372.29357357
Acanthochelys pallidipectoris,R09914,turtle,Chelidae,252986.39291157
Acanthochelys radiolata,R09915,turtle,Chelidae,205913.11825042
Acanthochelys spixii,R09916,turtle,Chelidae,461828.92489124
Acanthodactylus aegyptius,R05245,lizard,Lacertidae,242189.83401178
Acanthodactylus ahmaddisii,R05246,lizard,Lacertidae,9.99116483
Acanthodactylus arabicus,R05247,lizard,Lacertidae,126836.12309602
Acanthodactylus aureus,R05248,lizard,Lacertidae,271964.83732452
Acanthodactylus bedriagai,R05249,lizard,Lacertidae,192748.10611029
Acanthodactylus beershebensis,R05250,lizard,Lacertidae,3478.61528952
Acanthodactylus blanci,R05251,lizard,Lacertidae,129612.79037954
Acanthodactylus blanfordii,R05252,lizard,Lacertidae,934214.39717333
Acanthodactylus boskianus,R05253,lizard,Lacertidae,12634585.80000000
Acanthodactylus boueti,R05254,lizard,Lacertidae,333920.12780988
Acanthodactylus busacki,R05255,lizard,Lacertidae,206893.25843609
Acanthodactylus cantoris,R05256,lizard,Lacertidae,1416238.48254478
Acanthodactylus dumerilii,R05257,lizard,Lacertidae,1625494.88059028
Acanthodactylus erythrurus,R05258,lizard,Lacertidae,1030662.39359822
Acanthodactylus felicis,R05259,lizard,Lacertidae,146982.43282891
Acanthodactylus gongrorhynchatus,R05260,lizard,Lacertidae,132047.69479663
Acanthodactylus grandis,R05261,lizard,Lacertidae,949199.94237738
Acanthodactylus guineensis,R05262,lizard,Lacertidae,2108563.18471979
Acanthodactylus haasi,R05263,lizard,Lacertidae,513823.54723658
Acanthodactylus hardyi,R05264,lizard,Lacertidae,640580.36586592
Acanthodactylus harranensis,R05265,lizard,Lacertidae,4841.01352091
Acanthodactylus khamirensis,R05266,lizard,Lacertidae,19.98232966
Acanthodactylus longipes,R05268,lizard,Lacertidae,7831815.71917714
Acanthodactylus maculatus,R05269,lizard,Lacertidae,1194339.40072043
Acanthodactylus margaritae,R10249,lizard,Lacertidae,3930.52617907
Acanthodactylus masirae,R05270,lizard,Lacertidae,24774.23024279
Acanthodactylus micropholis,R05271,lizard,Lacertidae,566146.53889864
Acanthodactylus nilsoni,R05272,lizard,Lacertidae,206.97611372
Acanthodactylus opheodurus,R05273,lizard,Lacertidae,1708544.37866545
Acanthodactylus orientalis,R05274,lizard,Lacertidae,299841.60213632
Acanthodactylus pardalis,R05275,lizard,Lacertidae,179019.15829500
Acanthodactylus robustus,R05276,lizard,Lacertidae,191192.81478197
Acanthodactylus savignyi,R05277,lizard,Lacertidae,517238.13123615
Acanthodactylus schmidti,R05278,lizard,Lacertidae,2034773.47866264
Acanthodactylus schreiberi,R05279,lizard,Lacertidae,9272.67447376
Acanthodactylus scutellatus,R05280,lizard,Lacertidae,8730038.32741626
Acanthodactylus senegalensis,R05281,lizard,Lacertidae,1531951.17581704
Acanthodactylus spinicauda,R05282,lizard,Lacertidae,364.23428214
Acanthodactylus taghitensis,R05283,lizard,Lacertidae,328895.40980232
Acanthodactylus tilburyi,R05284,lizard,Lacertidae,133886.19393059
Acanthodactylus tristrami,R05285,lizard,Lacertidae,76448.49768583
Acanthodactylus yemenicus,R05286,lizard,Lacertidae,179395.08154119
Acanthophis antarcticus,R03377,snake,Elapidae,2981703.09018916
Acanthophis cryptamydros,R10250,snake,Elapidae,164484.21156037
Acanthophis hawkei,R03378,snake,Elapidae,19070.63633111
Acanthophis laevis,R03379,snake,Elapidae,556277.62224029
Acanthophis praelongus,R03380,snake,Elapidae,176739.05448419
Acanthophis pyrrhus,R03381,snake,Elapidae,3240816.28227958
Acanthophis rugosus,R03382,snake,Elapidae,746525.19572027
Acanthophis wellsi,R03383,snake,Elapidae,3142.65226228
Acanthosaura armata,R00038,lizard,Agamidae,194794.51972409
Acanthosaura bintangensis,R00039,lizard,Agamidae,9.99116483
Acanthosaura brachypoda,R00040,lizard,Agamidae,9.99116483
Acanthosaura capra,R00041,lizard,Agamidae,11351.15374223
Acanthosaura cardamomensis,R00042,lizard,Agamidae,10121.39972599
Acanthosaura coronata,R00043,lizard,Agamidae,34696.88437659
Acanthosaura crucigera,R00044,lizard,Agamidae,234222.39049631
Acanthosaura lepidogaster,R00045,lizard,Agamidae,2548748.90954173
Acanthosaura murphyi,R11157,lizard,Agamidae,75.17825487
Acanthosaura nataliae,R00046,lizard,Agamidae,56146.93250608
Acanthosaura phongdienensis,R11163,lizard,Agamidae,9.99116483
Acanthosaura phuketensis,R10251,lizard,Agamidae,12893.85039991
Acanthosaura titiwangsaensis,R00047,lizard,Agamidae,372.13572712
Achalinus ater,R09879,snake,Xenodermatidae,73206.72190253
Achalinus emilyae,R11655,snake,Xenodermatidae,19.98232966
Achalinus formosanus,R09880,snake,Xenodermatidae,36704.33751712
Achalinus hainanus,R09881,snake,Xenodermatidae,5057.67765819
Achalinus jinggangensis,R09882,snake,Xenodermatidae,317.57594057
Achalinus juliani,R11654,snake,Xenodermatidae,317.94814898
Achalinus meiguensis,R09883,snake,Xenodermatidae,129477.27700784
Achalinus niger,R09884,snake,Xenodermatidae,23333.74359431
Achalinus rufescens,R09885,snake,Xenodermatidae,680598.62637576
Achalinus spinalis,R09886,snake,Xenodermatidae,1591015.07803761
Achalinus timi,R11656,snake,Xenodermatidae,9.99116483
Achalinus werneri,R09887,snake,Xenodermatidae,2270.14008857
Acontias albigularis,R11412,lizard,Scincidae,51.61525703
Acontias aurantiacus,R07002,lizard,Scincidae,47179.49069313
Acontias bicolor,R07003,lizard,Scincidae,65723.34412789
Acontias breviceps,R07004,lizard,Scincidae,46456.55533519
Acontias cregoi,R07005,lizard,Scincidae,39111.03864998
Acontias fitzsimonsi,R11438,lizard,Scincidae,1942.00267130
Acontias gariepensis,R07006,lizard,Scincidae,51589.45007954
Acontias gracilicauda,R07007,lizard,Scincidae,314480.44440832
Acontias grayi,R11454,lizard,Scincidae,3402.53423307
Acontias jappi,R07008,lizard,Scincidae,26593.59275542
Acontias kgalagadi,R07009,lizard,Scincidae,643791.80512866
Acontias lineatus,R07010,lizard,Scincidae,241278.17055056
Acontias litoralis,R07011,lizard,Scincidae,27611.13809089
Acontias meleagris,R07012,lizard,Scincidae,147664.95165735
Acontias namaquensis,R07013,lizard,Scincidae,23239.98358081
Acontias occidentalis,R07014,lizard,Scincidae,581584.24428759
Acontias orientalis,R07015,lizard,Scincidae,54785.96053173
Acontias parietalis,R11439,lizard,Scincidae,9.99116483
Acontias percivali,R07016,lizard,Scincidae,20300.56577004
Acontias plumbeus,R07017,lizard,Scincidae,316958.96580637
Acontias richardi,R07019,lizard,Scincidae,7211.43340164
Acontias rieppeli,R07020,lizard,Scincidae,13797.81652422
Acontias schmitzi,R07021,lizard,Scincidae,19.98232967
Acontias tristis,R07022,lizard,Scincidae,28228.36688265
Acontias wakkerstroomensis,R11418,lizard,Scincidae,361.61933189
Acrantophis dumerili,R00778,snake,Boidae,242896.01459830
Acrantophis madagascariensis,R00779,snake,Boidae,166604.30678728
Acratosaura mentalis,R04883,lizard,Gymnophthalmidae,603401.07091471
Acratosaura spinosa,R04884,lizard,Gymnophthalmidae,123.12229216
Acritoscincus duperreyi,R07082,lizard,Scincidae,413907.18157260
Acritoscincus platynotus,R07083,lizard,Scincidae,336962.68603130
Acritoscincus trilineatus,R07084,lizard,Scincidae,319912.09231272
Acrochordus arafurae,R00027,snake,Acrochordidae,708910.71075278
Acrochordus granulatus,R00028,snake,Acrochordidae,246324.73534300
Acrochordus javanicus,R00029,snake,Acrochordidae,1917151.59270397
Actinemys marmorata,R10552,turtle,Emydidae,401378.62415529
Actinemys pallida,R10553,turtle,Emydidae,104288.87870318
Acutotyphlops banaorum,R09122,snake,Typhlopidae,9.99116483
Acutotyphlops infralabialis,R09123,snake,Typhlopidae,10674.53178501
Acutotyphlops kunuaensis,R09124,snake,Typhlopidae,5492.22967870
Acutotyphlops solomonis,R09125,snake,Typhlopidae,4990.04325848
Acutotyphlops subocularis,R09126,snake,Typhlopidae,34526.51470340
Adelophis copei,R06353,snake,Natricidae,39340.69901255
Adelophis foxi,R06354,snake,Natricidae,9.99116483
Adelphicos daryi,R02625,snake,Dipsadidae,9.99116483
Adelphicos ibarrorum,R02626,snake,Dipsadidae,9.99116483
Adelphicos latifasciatum,R02627,snake,Dipsadidae,1844.75977405
Adelphicos newmanorum,R10252,snake,Dipsadinae,9570.16633771
Adelphicos nigrilatum,R02628,snake,Dipsadidae,5755.48083166
Adelphicos quadrivirgatum,R02629,snake,Dipsadidae,107994.93688783
Adelphicos sargii,R10253,snake,Dipsadidae,12955.26707818
Adelphicos veraepacis,R02630,snake,Dipsadidae,4621.77053479
Adelphicos visoninum,R10254,snake,Dipsadidae,189972.88069136
Adercosaurus vixadnexus,R04885,lizard,Gymnophthalmidae,9.99116483
Adolfus africanus,R05287,lizard,Lacertidae,2026048.48587028
Adolfus alleni,R05288,lizard,Lacertidae,13638.34209667
Adolfus jacksoni,R05289,lizard,Lacertidae,389063.18398594
Adolfus kibonotensis,R11344,lizard,Lacertidae,707.00495933
Adolfus masavaensis,R05290,lizard,Lacertidae,2871.90913687
Adolfus mathewsensis,R11345,lizard,Lacertidae,150.05354807
Aeluroglena cucullata,R01072,snake,Colubridae,28814.94200948
Aeluroscalabotes felinus,R03732,lizard,Eublepharidae,367111.39993155
Afroedura africana,R03768,lizard,Gekkonidae,57106.63111290
Afroedura amatolica,R03769,lizard,Gekkonidae,6918.40228157
Afroedura bogerti,R03770,lizard,Gekkonidae,67804.68726595
Afroedura broadleyi,R03771,lizard,Gekkonidae,323.05151809
Afroedura gorongosa,R10255,lizard,Gekkonidae,166.24913286
Afroedura granitica,R03772,lizard,Gekkonidae,16.15261338
Afroedura haackei,R03773,lizard,Gekkonidae,4786.64184293
Afroedura halli,R03774,lizard,Gekkonidae,27850.76869821
Afroedura hawequensis,R03775,lizard,Gekkonidae,12444.35824089
Afroedura karroica,R03776,lizard,Gekkonidae,21237.88183199
Afroedura langi,R03777,lizard,Gekkonidae,7590.09781743
Afroedura leoloensis,R03778,lizard,Gekkonidae,880.63218809
Afroedura loveridgei,R03779,lizard,Gekkonidae,19936.30420103
Afroedura major,R03780,lizard,Gekkonidae,5165.40398969
Afroedura maripi,R03781,lizard,Gekkonidae,2467.53979871
Afroedura marleyi,R03782,lizard,Gekkonidae,26510.59836791
Afroedura multiporis,R03783,lizard,Gekkonidae,11039.98901698
Afroedura namaquensis,R03784,lizard,Gekkonidae,9100.83419988
Afroedura nivaria,R03785,lizard,Gekkonidae,19249.81801868
Afroedura pienaari,R03786,lizard,Gekkonidae,680.30129355
Afroedura pondolia,R03787,lizard,Gekkonidae,42403.51879907
Afroedura pongola,R03788,lizard,Gekkonidae,147.98381141
Afroedura rondavelica,R03789,lizard,Gekkonidae,9.99116484
Afroedura rupestris,R03790,lizard,Gekkonidae,176.63485564
Afroedura tembulica,R03791,lizard,Gekkonidae,4064.02498754
Afroedura tirasensis,R03792,lizard,Gekkonidae,9859.26992795
Afroedura transvaalica,R03793,lizard,Gekkonidae,360008.98641973
Afroedura waterbergensis,R03794,lizard,Gekkonidae,192.49334695
Afrogecko ansorgii,R03795,lizard,Gekkonidae,9.99116483
Afrogecko porphyreus,R03796,lizard,Gekkonidae,86915.23141987
Afronatrix anoscopus,R06355,snake,Natricidae,2384972.03229935
Afrotyphlops angolensis,R09128,snake,Typhlopidae,4119098.61184071
Afrotyphlops anomalus,R09129,snake,Typhlopidae,214116.60699359
Afrotyphlops bibronii,R09130,snake,Typhlopidae,526092.11057543
Afrotyphlops blanfordii,R09131,snake,Typhlopidae,457627.79158906
Afrotyphlops brevis,R09132,snake,Typhlopidae,100635.52324382
Afrotyphlops calabresii,R10256,snake,Typhlopidae,19900.78089944
Afrotyphlops chirioi,R11626,snake,Typhlopidae,19.98232966
Afrotyphlops congestus,R09133,snake,Typhlopidae,2286874.21147561
Afrotyphlops cuneirostris,R10257,snake,Typhlopidae,6917.04031016
Afrotyphlops elegans,R09135,snake,Typhlopidae,146.67043933
Afrotyphlops fornasinii,R09136,snake,Typhlopidae,212377.47623405
Afrotyphlops gierrai,R09137,snake,Typhlopidae,67167.80816765
Afrotyphlops kaimosae,R09138,snake,Typhlopidae,9.99116485
Afrotyphlops liberiensis,R09139,snake,Typhlopidae,208780.26779407
Afrotyphlops lineolatus,R09140,snake,Typhlopidae,5571118.23526034
Afrotyphlops mucruso,R09142,snake,Typhlopidae,3840508.27721198
Afrotyphlops nanus,R09143,snake,Typhlopidae,9.99116483
Afrotyphlops nigrocandidus,R09144,snake,Typhlopidae,3784.85888721
Afrotyphlops obtusus,R09145,snake,Typhlopidae,79709.37445112
Afrotyphlops platyrhynchus,R10258,snake,Typhlopidae,9.99116483
Afrotyphlops punctatus,R09146,snake,Typhlopidae,3225911.16963318
Afrotyphlops rondoensis,R09147,snake,Typhlopidae,8655.26897993
Afrotyphlops rouxestevae,R11627,snake,Typhlopidae,8.36289178
Afrotyphlops schlegelii,R09148,snake,Typhlopidae,949070.21691785
Afrotyphlops schmidti,R09149,snake,Typhlopidae,1186699.69509049
Afrotyphlops steinhausi,R09150,snake,Typhlopidae,512243.30003544
Afrotyphlops tanganicanus,R09151,snake,Typhlopidae,42358.26186771
Afrotyphlops usambaricus,R09152,snake,Typhlopidae,3362.64446296
Agama aculeata,R00048,lizard,Agamidae,4075018.71133496
Agama africana,R00049,lizard,Agamidae,665741.10078250
Agama agama,R00050,lizard,Agamidae,3768296.35278881
Agama anchietae,R00051,lizard,Agamidae,875217.30149070
Agama armata,R00052,lizard,Agamidae,2843150.39735283
Agama atra,R00053,lizard,Agamidae,1292562.65360652
Agama boensis,R00055,lizard,Agamidae,135764.87566294
Agama bottegi,R00056,lizard,Agamidae,1679.33072594
Agama boueti,R00057,lizard,Agamidae,2366219.63709114
Agama boulengeri,R00058,lizard,Agamidae,294909.10218640
Agama caudospinosa,R00059,lizard,Agamidae,47508.72486272
Agama cristata,R00061,lizard,Agamidae,34628.79503810
Agama doriae,R00062,lizard,Agamidae,2796415.19417818
Agama etoshae,R00063,lizard,Agamidae,70851.56726272
Agama finchi,R00064,lizard,Agamidae,655566.65486349
Agama gracilimembris,R00065,lizard,Agamidae,1716575.12980812
Agama hartmanni,R00066,lizard,Agamidae,593157.97248666
Agama hispida,R00067,lizard,Agamidae,286031.80057294
Agama hulbertorum,R00068,lizard,Agamidae,1053.52529733
Agama impalearis,R00069,lizard,Agamidae,1080847.84940216
Agama insularis,R00070,lizard,Agamidae,26714.40119222
Agama kaimosae,R00071,lizard,Agamidae,32479.26792585
Agama kirkii,R00072,lizard,Agamidae,949502.01978884
Agama knobeli,R00073,lizard,Agamidae,82502.40335844
Agama lanzai,R00074,lizard,Agamidae,144.84277139
Agama lebretoni,R00075,lizard,Agamidae,452929.92654141
Agama lionotus,R00076,lizard,Agamidae,1013803.61733117
Agama lucyae,R00077,lizard,Agamidae,9.99116483
Agama montana,R00080,lizard,Agamidae,14081.07462387
Agama mossambica,R00081,lizard,Agamidae,658709.10493470
Agama mucosoensis,R00082,lizard,Agamidae,39209.47594168
Agama mwanzae,R00083,lizard,Agamidae,118000.18451103
Agama parafricana,R00084,lizard,Agamidae,867701.94370988
Agama paragama,R00085,lizard,Agamidae,2282792.76572738
Agama persimilis,R00086,lizard,Agamidae,126226.24834036
Agama picticauda,R11140,lizard,Agamidae,7457286.36437625
Agama planiceps,R00087,lizard,Agamidae,778031.95736622
Agama robecchii,R00088,lizard,Agamidae,347502.25979784
Agama rueppelli,R00089,lizard,Agamidae,643798.35474310
Agama sankaranica,R00090,lizard,Agamidae,1646115.83111476
Agama somalica,R00091,lizard,Agamidae,9421.77985851
Agama spinosa,R00092,lizard,Agamidae,1245039.34809593
Agama sylvana,R00093,lizard,Agamidae,903963.32561060
Agama tassiliensis,R00094,lizard,Agamidae,1158974.95839976
Agama turuensis,R00095,lizard,Agamidae,22165.50945848
Agama weidholzi,R00096,lizard,Agamidae,437786.78578190
Agamodon anguliceps,R08955,amphisbaenian,Trogonophiidae,201659.70482014
Agamodon arabicus,R08956,amphisbaenian,Trogonophiidae,16054.33764638
Agamodon compressus,R08957,amphisbaenian,Trogonophiidae,18958.00200173
Agamura kermanensis,R11219,lizard,Gekkonidae,15483.94975527
Agamura persica,R03797,lizard,Gekkonidae,1509176.23230169
Agkistrodon bilineatus,R09516,snake,Viperidae,1013728.90785575
Agkistrodon conanti,R11637,snake,Viperidae,512464.58790064
Agkistrodon contortrix,R09517,snake,Viperidae,1990782.92893917
Agkistrodon howardgloydi,R09518,snake,Viperidae,42799.84960691
Agkistrodon laticinctus,R11638,snake,Viperidae,588069.75370061
Agkistrodon piscivorus,R09519,snake,Viperidae,1501974.02461550
Agkistrodon russeolus,R09520,snake,Viperidae,65549.16851364
Agkistrodon taylori,R09521,snake,Viperidae,84229.74323459
Ahaetulla anomala,R10259,snake,Colubridae,26920.13029031
Ahaetulla dispar,R01073,snake,Colubridae,36382.72523588
Ahaetulla fasciolata,R01074,snake,Colubridae,1389489.29972472
Ahaetulla fronticincta,R01075,snake,Colubridae,88209.69963762
Ahaetulla laudankia,R11497,snake,Colubridae,190303.44851444
Ahaetulla mycterizans,R01076,snake,Colubridae,339863.69286132
Ahaetulla nasuta,R01077,snake,Colubridae,2240763.31857155
Ahaetulla perroteti,R01078,snake,Colubridae,1694.79994430
Ahaetulla prasina,R01079,snake,Colubridae,4694578.09790548
Ahaetulla pulverulenta,R01080,snake,Colubridae,213682.81928927
Ailuronyx seychellensis,R03798,lizard,Gekkonidae,232.57345325
Ailuronyx tachyscopaeus,R03799,lizard,Gekkonidae,234.77449244
Ailuronyx trachygaster,R03800,lizard,Gekkonidae,44.57249292
Aldabrachelys abrupta,R11028,turtle,Testudinidae,5516.80443833
Aldabrachelys gigantea,R10156,turtle,Testudinidae,163.90809760
Aldabrachelys grandidieri,R11029,turtle,Testudinidae,1919.78465848
Alexandresaurus camacan,R04886,lizard,Gymnophthalmidae,12460.79798356
Algyroides fitzingeri,R05291,lizard,Lacertidae,32877.89646878
Algyroides marchi,R05292,lizard,Lacertidae,3546.87012564
Algyroides moreoticus,R05293,lizard,Lacertidae,22700.81439224
Algyroides nigropunctatus,R05294,lizard,Lacertidae,85179.22143441
Alinea berengerae,R10728,lizard,Scincidae,27.95753377
Alinea lanceolata,R07031,lizard,Scincidae,19.98232966
Alinea luciae,R07032,lizard,Scincidae,617.39650616
Alinea pergravis,R10731,lizard,Scincidae,23.52757952
Alligator mississippiensis,R00001,croc,Alligatoridae,943999.87310463
Alligator sinensis,R00002,croc,Alligatoridae,135891.33704040
Alluaudina bellyi,R05566,snake,Lamprophiidae,40650.86321314
Alluaudina mocquardi,R05567,snake,Lamprophiidae,9.99116483
Alopoglossus angulatus,R04887,lizard,Gymnophthalmidae,4274921.66732508
Alopoglossus atriventris,R04888,lizard,Gymnophthalmidae,1315927.33315650
Alopoglossus buckleyi,R04889,lizard,Gymnophthalmidae,812908.45718087
Alopoglossus copii,R04890,lizard,Gymnophthalmidae,144223.66033967
Alopoglossus embera,R10260,lizard,Gymnophthalmidae,16.46668264
Alopoglossus festae,R04891,lizard,Gymnophthalmidae,97510.61895029
Alopoglossus lehmanni,R04892,lizard,Gymnophthalmidae,9.99116483
Alopoglossus meloi,R11331,lizard,Gymnophthalmidae,3483.77580533
Alopoglossus viridiceps,R04893,lizard,Gymnophthalmidae,119.05457144
Alsophis antiguae,R02631,snake,Dipsadidae,10.17464122
Alsophis antillensis,R02632,snake,Dipsadidae,43.18507872
Alsophis danforthi,R02633,snake,Dipsadidae,9.09763445
Alsophis manselli,R02634,snake,Dipsadidae,102.50693268
Alsophis rijgersmaei,R02635,snake,Dipsadidae,192.76148153
Alsophis rufiventris,R02636,snake,Dipsadidae,138.41709461
Alsophis sajdaki,R02637,snake,Dipsadidae,10.17464121
Alsophis sanctonum,R02638,snake,Dipsadidae,7.84212597
Alsophis sibonius,R02639,snake,Dipsadidae,766.68972836
Alsophylax laevis,R03801,lizard,Gekkonidae,193216.15868503
Alsophylax loricatus,R03802,lizard,Gekkonidae,129216.24475045
Alsophylax pipiens,R03803,lizard,Gekkonidae,2851270.71365758
Alsophylax przewalskii,R03804,lizard,Gekkonidae,692476.78074975
Alsophylax szczerbaki,R03805,lizard,Gekkonidae,64178.26359195
Alsophylax tadjikiensis,R03806,lizard,Gekkonidae,68344.11782179
Altiphylax baturensis,R03807,lizard,Gekkonidae,53037.52332177
Altiphylax levitoni,R03808,lizard,Gekkonidae,25940.25760594
Altiphylax mintoni,R03809,lizard,Gekkonidae,30421.27488861
Altiphylax stoliczkai,R03810,lizard,Gekkonidae,151303.59245573
Altiphylax tokobajevi,R03811,lizard,Gekkonidae,6465.80679678
Amalosia jacovae,R02437,lizard,Diplodactylidae,72412.68167700
Amalosia lesueurii,R02438,lizard,Diplodactylidae,52113.26970533
Amalosia obscura,R02439,lizard,Diplodactylidae,28246.58590451
Amalosia rhombifer,R02440,lizard,Diplodactylidae,1983211.54842757
Amapasaurus tetradactylus,R04894,lizard,Gymnophthalmidae,72348.92017939
Amastridium sapperi,R02640,snake,Dipsadidae,61241.90362724
Amastridium veliferum,R02641,snake,Dipsadidae,29399.48459878
Amblyodipsas concolor,R05568,snake,Lamprophiidae,95223.47228739
Amblyodipsas dimidiata,R05569,snake,Lamprophiidae,11769.66103334
Amblyodipsas katangensis,R05570,snake,Lamprophiidae,174511.28389605
Amblyodipsas microphthalma,R05571,snake,Lamprophiidae,132562.41497240
Amblyodipsas polylepis,R05572,snake,Lamprophiidae,3704652.92460813
Amblyodipsas rodhaini,R05573,snake,Lamprophiidae,131877.73339642
Amblyodipsas teitana,R05574,snake,Lamprophiidae,9.99116483
Amblyodipsas unicolor,R05575,snake,Lamprophiidae,4102743.07317581
Amblyodipsas ventrimaculata,R05576,snake,Lamprophiidae,756079.16878342
Amblyrhynchus cristatus,R05204,lizard,Iguanidae,7990.35818842
Ameiva aggerecusans,R08804,lizard,Teiidae,172.32005528
Ameiva ameiva,R08805,lizard,Teiidae,12706250.00000000
Ameiva atrigularis,R08807,lizard,Teiidae,15374.34732975
Ameiva bifrontata,R08809,lizard,Teiidae,1615963.08509775
Ameiva concolor,R08812,lizard,Teiidae,565.06859198
Ameiva fuliginosa,R08818,lizard,Teiidae,25.04696913
Ameiva jacuba,R08821,lizard,Teiidae,309.68465206
Ameiva nodam,R08825,lizard,Teiidae,4458.02793685
Ameiva pantherina,R08826,lizard,Teiidae,834.17622747
Ameiva parecis,R08827,lizard,Teiidae,1505.57259427
Ameiva praesignis,R08831,lizard,Teiidae,240603.02241667
Ameiva provitaae,R08832,lizard,Teiidae,9.99116483
Ameiva reticulata,R08833,lizard,Teiidae,198.27525397
Ameivula abalosi,R08837,lizard,Teiidae,757997.22781264
Ameivula apipensis,R11461,lizard,Teiidae,37970.92926095
Ameivula cipoensis,R08838,lizard,Teiidae,410.27926180
Ameivula confusioniba,R08839,lizard,Teiidae,5560.91987632
Ameivula jalapensis,R08841,lizard,Teiidae,11017.84880853
Ameivula mumbuca,R08843,lizard,Teiidae,49042.11362340
Ameivula nativo,R08844,lizard,Teiidae,35581.13083688
Ameivula nigrigula,R08845,lizard,Teiidae,80188.74124644
Ameivula ocellifera,R08846,lizard,Teiidae,7006555.30519859
Ameivula pyrrhogularis,R08847,lizard,Teiidae,148016.62571158
Ameivula xacriaba,R08849,lizard,Teiidae,15385.58687383
Amerotyphlops amoipira,R09153,snake,Typhlopidae,3923.97145606
Amerotyphlops arenensis,R09154,snake,Typhlopidae,757.93418964
Amerotyphlops brongersmianus,R09155,snake,Typhlopidae,13408866.20000000
Amerotyphlops costaricensis,R09156,snake,Typhlopidae,7591.46309035
Amerotyphlops lehneri,R09157,snake,Typhlopidae,19.98232966
Amerotyphlops microstomus,R09158,snake,Typhlopidae,87291.49209642
Amerotyphlops minuisquamus,R09159,snake,Typhlopidae,1489980.45851661
Amerotyphlops paucisquamus,R09160,snake,Typhlopidae,450.17115579
Amerotyphlops reticulatus,R09161,snake,Typhlopidae,10813032.90000000
Amerotyphlops stadelmani,R09162,snake,Typhlopidae,17087.55800509
Amerotyphlops tasymicris,R09163,snake,Typhlopidae,20.86487249
Amerotyphlops tenuis,R09164,snake,Typhlopidae,122289.65123794
Amerotyphlops trinitatus,R09165,snake,Typhlopidae,122.15885436
Amerotyphlops tycherus,R09166,snake,Typhlopidae,19.98232966
