"query","RDB","status"
"Pareas xuelinensis","Pareas yunnanensis","duplicated"
"Platyceps ladacensis","Platyceps rhodorachis","updated"
"Storeria hidalgoensis","Storeria occipitomaculata","updated"
"Thamnodynastes longicauda","Thamnodynastes longicaudus","updated"
"Thamnophis conanti","Thamnophis bogerti","duplicated"
"Thamnophis lineri","Thamnophis bogerti","duplicated"
"Toxicodryas adamanteus","Toxicodryas adamantea","updated"
"Trachyboa boulengeri","Tropidophis boulengeri","updated"
"Trachyboa gularis","Tropidophis gularis","updated"
"Walterinnesia morgani","Walterinnesia aegyptia","updated"
"Afrotyphlops mucruso","Afrotyphlops dinga","updated"
"Antillotyphlops richardi","Antillotyphlops richardii","updated"
"Indotyphlops exiguus","Pseudoindotyphlops exiguus","updated"
"Indotyphlops porrectus","Pseudoindotyphlops porrectus","updated"
"Madatyphlops cariei","not_found","unknown"
"Ramphotyphlops acuticauda","Ramphotyphlops acuticaudus","updated"
"Rhinotyphlops scortecci","Rhinotyphlops scorteccii","updated"
"Xerotyphlops luristanicus","Xerotyphlops vermicularis","updated"
